xs,xp,y,proc
0.9866565416120225,0.9866565416120225,-1.0711370301863756,CT
1.361328903981495,1.1232456542218774,-0.7701070345223945,CT
1.8894406101413324,1.4859120819159777,-0.292985779802732,CT
2.2805453990066513,1.9727227276787807,-0.07113703018637563,CT
2.6851211121745475,2.0823221304006494,0.2510822645475437,CT
2.866535149588208,2.1727641201136136,0.3912609677125804,CT
2.961639826940328,2.199300377127904,0.4473769096915118,CT
3.4000990557069457,2.2946464288923267,1.0007449771197496,CT
3.472394559757852,2.326035419042431,1.0326666907695812,CT
3.589369375183448,2.3568653404256534,1.174375637627774,CT
3.728792522709909,2.450182307060649,1.2905908058312172,CT
4.083050794858984,2.461698781472808,1.6431927295588575,CT
4.433420319106637,2.542479804274835,2.005503413483966,CT
4.495442183556553,2.5723784658257554,2.048118859091561,CT
4.662742695399488,2.573901695468807,2.2076165707664535,CT
4.81999447404529,2.598792634810537,2.3623127635752206,CT
4.829290862285633,2.623648136494195,2.36961467029281,CT
0.9759282521959374,0.9759282521959374,-1.0464174561065687,CT
1.7334938302047243,1.2266758336077728,-0.14332746911462516,CT
2.10056099600325,1.8568394802365604,-0.09217494666724386,CT
2.6046986684807374,2.2991521453671004,0.06752589620026794,CT
3.722755031488501,2.354546751408291,1.3171945237855756,CT
4.1900546979457465,2.3675403358479366,1.7757506232614486,CT
4.233652544400749,2.3711784848043695,1.8048408926125066,CT
4.338245135964573,2.4535273402546323,1.8936006989010945,CT
4.541833568337116,2.4861732004893553,2.0944047240027417,CT
4.572785027535975,2.5348356587649254,2.1379900293057514,CT
4.62199418938385,2.5405792949954056,2.188605703388655,CT
4.931406782022404,2.5474805912447076,2.502585805919219,CT
4.943980518080265,2.5761439639564383,2.5112100323202577,CT
5.159320394177485,2.583578175679269,2.722146653407005,CT
0.6240935458954044,0.6240935458954044,-1.052961303202245,CT
1.5441242088413916,1.3337439796485882,-0.3539912988662262,CT
2.1390942463497855,1.9930463695262726,-0.2078632631879881,CT
2.8714499883469733,2.190138060333388,0.5702879871956554,CT
3.03175975282946,2.508600128244725,0.5904913732839424,CT
4.552551130414329,2.5636229912372817,2.1283104683572165,CT
5.045571018323835,2.639545185231149,2.5980257911812,CT
1.792993313020626,1.792993313020626,-1.0537624292042178,CT
