xs,xp,y,proc
0.32551832382434503,0.32551832382434503,-1.0900506449232161,CT
0.7058270450156232,0.47181345378869743,-0.7890206492592349,CT
0.9628224339783155,0.6127839534724089,-0.6129293902035536,CT
1.846268729173301,1.785396578229132,-0.4879906535952536,CT
2.2546237578513444,1.911557166836359,-0.09005064492321599,CT
2.4265216186621017,1.9408901070310045,-0.04865795976499094,CT
2.8362148574114734,1.9831758917004318,0.4897329516935941,CT
2.9868955149344756,2.2299905550878663,0.5631618688521276,CT
3.2467959337107803,2.2656971385131865,0.7228627117196396,CT
3.326042211915916,2.3677572155892963,0.7791810748077601,CT
3.700708993123958,2.513139203662207,1.1909827223245115,CT
4.027535859625075,2.5504307763048137,1.5660475570896157,CT
4.66676939875468,2.746347221626132,2.2153007245234075,CT
0.9535047044756151,0.9535047044756151,-1.0553598960941222,CT
1.6721655510188702,1.5800418469319388,-0.7543299004301409,CT
2.073420409955607,1.786202781632703,-0.3563898917581033,CT
2.682081133209702,2.411713759914014,0.09076813958411582,CT
4.107205953155279,2.4248738958035707,1.6664507191184246,CT
4.16594706578749,2.432885213686676,1.7278287949811355,CT
4.25105970817009,2.454559454581238,1.815044009184905,CT
4.6898178517539995,2.4646966944171784,2.2506359866766825,CT
4.849289382930291,2.4967550532616634,2.4191477430228536,CT
4.948264432147145,2.532868927948813,2.5095427764350826,CT
5.063704150663848,2.535398395158024,2.629664889011592,CT
5.069354905464421,2.544105007928088,2.634658884694573,CT
5.185173913871582,2.790394391091364,2.749528848528269,CT
0.8258376135374886,0.8258376135374886,-1.0555982607690657,CT
1.3687117122113164,1.1174506037699543,-0.5784770060494033,CT
2.144111982120514,1.9905814741438752,-0.21050022075480887,CT
2.843942209420825,2.2373147642623956,0.46291567910882175,CT
3.1683839042351285,2.3270287686707416,0.7894997792451911,CT
3.497810115856286,2.493015885884877,1.0747355077259404,CT
3.8707638725088804,2.610008604899306,1.4301231657125142,CT
5.055367452274862,2.6481370761810656,2.619446475186827,CT
0.3010848153993993,0.3010848153993993,-1.0340590210629226,CT
1.3119708904080394,1.267406290301709,-0.7330290253989414,CT
1.7388132684484734,1.2986888178523461,-0.4319990297349603,CT
1.94155225280458,1.3107521527374097,-0.07981651162359776,CT
2.1338220664016347,1.333813119160564,0.11206901461531536,CT
2.2634843885747777,1.5769575011006989,0.1700609615930021,CT
